"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"BC17","CS-1608","20.2mm","5.3mm","20.2mm","5.3mm","19.3999mm","5.3mm","T","360.00","10uF"
"BC18","CS-1005","5.554mm","-1.1mm","5.554mm","-1.1mm","6.004mm","-1.1mm","B","180.00","1uF"
"BC19","CTS-3216","-0.2431mm","3.3302mm","-0.2431mm","3.3302mm","1.0269mm","3.3302mm","T","180.00","22uF"
"BC20","CS-1005","1.5mm","6.2mm","1.5mm","6.2mm","1.95mm","6.2mm","B","180.00","1uF"
"BC24","CS-1005","13.034mm","5.8mm","13.034mm","5.8mm","13.034mm","6.25mm","T","270.00","1uF"
"BC25","CS-1005","6.2081mm","-2.9mm","6.2081mm","-2.9mm","6.2081mm","-3.35mm","B","90.00","1uF"
"BC26","CS-1005","4.2mm","2.2mm","4.2mm","2.2mm","4.65mm","2.2mm","T","180.00","0.1uF"
"BC27","CS-1005","-23mm","-17.7mm","-23mm","-17.7mm","-23mm","-18.15mm","T","90.00","0.1uF"
"C1","CS-1005","22.3mm","6.6mm","22.3mm","6.6mm","21.85mm","6.6mm","B","360.00","0.1uF"
"C2","CS-1005","23.4mm","9mm","23.4mm","9mm","23.4mm","8.55mm","B","90.00","1nF/NI"
"C3","CS-1005","-15.0854mm","17.4853mm","-15.0854mm","17.4853mm","-15.5354mm","17.4853mm","B","360.00","10nF"
"C4","CS-2012","-2.2189mm","14.3648mm","-2.2189mm","14.3648mm","-2.2189mm","15.4443mm","B","270.00","22uF-6.3V"
"C6","CS-1005","12.773mm","15.483mm","12.773mm","15.483mm","13.223mm","15.483mm","B","180.00","22pF"
"C7","CS-2012","16mm","11.6mm","16mm","11.6mm","14.9205mm","11.6mm","B","360.00","22uF-6.3V"
"C8","CS-1005","-17.7562mm","10.8887mm","-17.7562mm","10.8887mm","-18.2062mm","10.8887mm","B","360.00","0.1uF"
"C9","CS-1005","-22.2mm","17.9mm","-22.2mm","17.9mm","-22.2mm","17.45mm","B","90.00","0.1uF"
"C10","CS-1005","-24.4mm","13.6mm","-24.4mm","13.6mm","-23.95mm","13.6mm","B","180.00","3.3nF"
"C17","CS-1005","9.5049mm","-4.9066mm","9.5049mm","-4.9066mm","9.5049mm","-4.4566mm","T","270.00","12pF"
"C18","CS-1005","9.513mm","-6.9121mm","9.513mm","-6.9121mm","9.513mm","-7.3621mm","T","90.00","12pF"
"C19","CS-1005","19.4mm","-9.5mm","19.4mm","-9.5mm","19.85mm","-9.5mm","T","180.00","0.1uF"
"C20","CS-1005","-6.6mm","-6.8mm","-6.6mm","-6.8mm","-6.15mm","-6.8mm","T","180.00","0.1uF"
"C21","CS-1005","9.6mm","-18.0474mm","9.6mm","-18.0474mm","9.15mm","-18.0474mm","T","360.00","0.1uF"
"C22","CS-1005","-9.71mm","-18.0474mm","-9.71mm","-18.0474mm","-9.26mm","-18.0474mm","T","180.00","0.1uF"
"C23","CS-1005","5.554mm","-1.1mm","5.554mm","-1.1mm","6.004mm","-1.1mm","T","180.00","1uF"
"C24","CS-1005","5mm","-2.9mm","5mm","-2.9mm","5mm","-3.35mm","B","90.00","1uF"
"C25","CS-1005","1.5mm","5mm","1.5mm","5mm","1.95mm","5mm","B","180.00","1uF"
"C26","CS-1005","5.4mm","5.2mm","5.4mm","5.2mm","4.95mm","5.2mm","B","360.00","0.1uF"
"C27","CS-1005","1mm","8.7mm","1mm","8.7mm","1mm","9.15mm","T","270.00","10nF"
"C31","CS-1005","-0.05mm","-2.4mm","-0.05mm","-2.4mm","-0.5mm","-2.4mm","T","360.00","10nF"
"C32","CS-1005","-16.9mm","-3.9mm","-16.9mm","-3.9mm","-16.9mm","-4.35mm","T","90.00","1uF"
"C33","C3216","-9.4mm","-12.7mm","-9.4mm","-12.7mm","-11mm","-12.7mm","T","360.00","4.7uF-25V-3216"
"C34","CS-1005","-11.3mm","-6.7mm","-11.3mm","-6.7mm","-10.85mm","-6.7mm","T","180.00","220nF"
"C35","CS-1005","-13.1268mm","1.9106mm","-13.1268mm","1.9106mm","-13.1268mm","2.3606mm","T","270.00","0.1uF"
"C36","CS-1608","-14.6mm","1.6mm","-14.6mm","1.6mm","-14.6mm","2.4001mm","T","270.00","22uF"
"D2","SOD-106","-8.7mm","-11.6mm","-8.7mm","-11.6mm","-6.5mm","-11.6mm","B","180.00","RB051L-40"
"D3","SOT-23","16.9076mm","16.9051mm","16.9mm","16.9mm","18.0544mm","17.8589mm","B","180.00","BAT54A"
"FB1","LS-1608","14.4mm","11.8mm","14.4mm","11.8mm","13.638mm","11.8mm","T","360.00","220R"
"FB2","LS-1608","14.7mm","-11mm","14.7mm","-11mm","15.462mm","-11mm","B","180.00","220R"
